epoch	metric	loss	lr	time	iter
2	0.14783	0.76370	0.20000	19.3	292
4	0.27455	0.58709	0.19901	38.5	584
6	0.41486	0.49584	0.19801	57.7	876
8	0.48691	0.42429	0.19701	77.0	1168
10	0.58582	0.36942	0.19600	96.2	1460
12	0.63401	0.33952	0.19499	115.4	1752
14	0.66858	0.30986	0.19397	134.7	2044
16	0.67150	0.28898	0.19294	153.9	2336
18	0.67417	0.28422	0.19192	173.2	2628
20	0.69605	0.26752	0.19088	192.4	2920
22	0.70823	0.25351	0.18984	211.7	3212
24	0.71050	0.24644	0.18880	230.9	3504
26	0.71317	0.24117	0.18774	250.1	3796
28	0.73916	0.23124	0.18669	269.3	4088
30	0.74519	0.22746	0.18562	288.5	4380
32	0.72192	0.22957	0.18455	307.7	4672
34	0.73647	0.22087	0.18348	326.9	4964
36	0.73341	0.22030	0.18239	346.0	5256
38	0.75057	0.21642	0.18130	365.2	5548
40	0.76439	0.21478	0.18021	384.4	5840
42	0.76553	0.21266	0.17911	403.7	6132
44	0.74746	0.21291	0.17800	422.8	6424
46	0.76171	0.20943	0.17688	442.0	6716
48	0.75690	0.20847	0.17576	461.2	7008
50	0.75519	0.20100	0.17463	480.4	7300
52	0.76193	0.19778	0.17349	499.6	7592
54	0.75977	0.20329	0.17235	518.8	7884
56	0.76797	0.20194	0.17119	538.0	8176
58	0.77253	0.19767	0.17003	557.2	8468
60	0.76494	0.19989	0.16886	576.6	8760
62	0.76622	0.19625	0.16769	596.1	9052
64	0.76753	0.19232	0.16650	615.4	9344
66	0.76558	0.19373	0.16531	634.6	9636
68	0.78113	0.19202	0.16411	653.9	9928
70	0.76018	0.18889	0.16289	673.3	10220
72	0.76513	0.19189	0.16167	692.6	10512
74	0.78085	0.18790	0.16044	711.9	10804
76	0.77779	0.18466	0.15921	731.2	11096
78	0.77806	0.18779	0.15796	750.4	11388
80	0.75790	0.18618	0.15670	769.6	11680
82	0.77608	0.18691	0.15543	788.8	11972
84	0.77126	0.18473	0.15415	808.1	12264
86	0.77823	0.18597	0.15286	827.3	12556
88	0.78160	0.18160	0.15156	846.5	12848
90	0.78144	0.18178	0.15025	865.8	13140
92	0.78276	0.18120	0.14892	885.1	13432
94	0.77774	0.18010	0.14759	904.4	13724
96	0.78087	0.17881	0.14624	923.6	14016
98	0.77898	0.17950	0.14488	942.8	14308
100	0.78711	0.17593	0.14351	962.1	14600
