2023-05-04 14:48:03,028 - DEBUG - [info] number of GPUs: 3
2023-05-04 14:48:03,032 - DEBUG - [info] number of GPUs: 3
2023-05-04 14:48:03,036 - DEBUG - [info] number of GPUs: 3
2023-05-04 14:48:03,044 - DEBUG - [info] world_size: 3
2023-05-04 14:48:03,047 - DEBUG - [info] world_size: 3
2023-05-04 14:48:03,049 - DEBUG - train_files: 73
2023-05-04 14:48:03,049 - DEBUG - val_files: 18
2023-05-04 14:48:03,052 - DEBUG - [info] world_size: 3
2023-05-04 14:48:03,056 - DEBUG - train_files: 73
2023-05-04 14:48:03,056 - DEBUG - train_files: 73
2023-05-04 14:48:03,057 - DEBUG - val_files: 19
2023-05-04 14:48:03,057 - DEBUG - val_files: 18
2023-05-04 14:48:05,351 - DEBUG - num_epochs: 200
2023-05-04 14:48:05,351 - DEBUG - num_epochs_per_validation: 2
2023-05-04 14:48:06,115 - DEBUG - [info] training from scratch
2023-05-04 14:48:06,116 - DEBUG - [info] training from scratch
2023-05-04 14:48:06,116 - DEBUG - [info] amp enabled
2023-05-04 14:48:06,121 - DEBUG - [info] training from scratch
2023-05-04 14:48:06,146 - DEBUG - ----------
2023-05-04 14:48:06,146 - DEBUG - epoch 1/200
2023-05-04 14:48:06,146 - DEBUG - learning rate is set to 0.2
2023-05-04 14:48:25,975 - DEBUG - [2023-05-04 14:48:25] 1/73, train_loss: 1.0963
2023-05-04 14:48:27,035 - DEBUG - [2023-05-04 14:48:27] 1/73, train_loss: 1.1110
2023-05-04 14:48:28,102 - DEBUG - [2023-05-04 14:48:28] 1/73, train_loss: 1.0953
2023-05-04 14:48:29,154 - DEBUG - [2023-05-04 14:48:29] 1/73, train_loss: 1.0942
2023-05-04 14:48:30,237 - DEBUG - [2023-05-04 14:48:30] 2/73, train_loss: 1.0591
2023-05-04 14:48:31,298 - DEBUG - [2023-05-04 14:48:31] 2/73, train_loss: 1.0505
2023-05-04 14:48:32,396 - DEBUG - [2023-05-04 14:48:32] 2/73, train_loss: 1.0460
2023-05-04 14:48:33,458 - DEBUG - [2023-05-04 14:48:33] 2/73, train_loss: 1.0323
2023-05-04 14:48:34,579 - DEBUG - [2023-05-04 14:48:34] 3/73, train_loss: 1.0230
2023-05-04 14:48:35,639 - DEBUG - [2023-05-04 14:48:35] 3/73, train_loss: 1.0371
2023-05-04 14:48:36,711 - DEBUG - [2023-05-04 14:48:36] 3/73, train_loss: 1.0118
2023-05-04 14:48:37,762 - DEBUG - [2023-05-04 14:48:37] 3/73, train_loss: 1.0131
2023-05-04 14:48:38,837 - DEBUG - [2023-05-04 14:48:38] 4/73, train_loss: 1.0189
2023-05-04 14:48:39,891 - DEBUG - [2023-05-04 14:48:39] 4/73, train_loss: 1.0023
2023-05-04 14:48:40,940 - DEBUG - [2023-05-04 14:48:40] 4/73, train_loss: 0.9809
2023-05-04 14:48:41,990 - DEBUG - [2023-05-04 14:48:41] 4/73, train_loss: 0.9850
2023-05-04 14:48:43,063 - DEBUG - [2023-05-04 14:48:43] 5/73, train_loss: 0.9624
2023-05-04 14:48:44,373 - DEBUG - [2023-05-04 14:48:44] 5/73, train_loss: 0.9460
2023-05-04 14:48:45,655 - DEBUG - [2023-05-04 14:48:45] 5/73, train_loss: 0.9305
2023-05-04 14:48:46,709 - DEBUG - [2023-05-04 14:48:46] 5/73, train_loss: 0.9433
2023-05-04 14:48:47,777 - DEBUG - [2023-05-04 14:48:47] 6/73, train_loss: 0.9332
2023-05-04 14:48:48,851 - DEBUG - [2023-05-04 14:48:48] 6/73, train_loss: 0.9408
2023-05-04 14:48:49,905 - DEBUG - [2023-05-04 14:48:49] 6/73, train_loss: 0.9190
2023-05-04 14:48:51,010 - DEBUG - [2023-05-04 14:48:51] 6/73, train_loss: 0.8948
2023-05-04 14:48:52,092 - DEBUG - [2023-05-04 14:48:52] 7/73, train_loss: 0.8813
2023-05-04 14:48:53,148 - DEBUG - [2023-05-04 14:48:53] 7/73, train_loss: 0.8959
2023-05-04 14:48:54,201 - DEBUG - [2023-05-04 14:48:54] 7/73, train_loss: 0.8579
2023-05-04 14:48:55,261 - DEBUG - [2023-05-04 14:48:55] 7/73, train_loss: 0.8720
2023-05-04 14:48:56,326 - DEBUG - [2023-05-04 14:48:56] 8/73, train_loss: 0.8612
