epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
9	0.6817	0.0000	1971	1144.60s	109.77s	38.57s	148.34s
19	0.7761	0.0000	4161	2285.09s	110.22s	37.90s	148.12s
29	0.7967	0.0000	6351	3426.34s	110.19s	38.30s	148.49s
39	0.8013	0.0000	8541	4566.03s	110.22s	37.92s	148.14s
49	0.8202	0.0000	10731	5706.12s	109.85s	37.90s	147.76s
59	0.8195	0.0000	12921	6846.52s	109.88s	37.94s	147.82s
69	0.8181	0.0000	15111	7986.80s	110.14s	37.81s	147.96s
79	0.8323	0.0000	17301	9126.65s	110.08s	37.83s	147.92s
89	0.8322	0.0000	19491	10264.86s	110.05s	37.87s	147.93s
98	0.8413	0.0000	21462	11294.51s	109.98s	37.92s	147.89s
107	0.8428	0.0000	23433	12323.08s	109.91s	37.84s	147.76s
116	0.8462	0.0000	25404	13351.27s	109.92s	38.24s	148.16s
125	0.8500	0.0000	27375	14380.15s	110.12s	37.86s	147.97s
134	0.8504	0.0000	29346	15408.95s	109.56s	37.94s	147.50s
143	0.8525	0.0000	31317	16438.34s	110.06s	37.80s	147.86s
152	0.8528	0.0000	33288	17467.46s	109.68s	38.07s	147.76s
160	0.8562	0.0000	35040	18386.18s	109.97s	37.87s	147.84s
168	0.8604	0.0000	36792	19305.16s	109.78s	37.83s	147.61s
176	0.8620	0.0000	38544	20223.13s	109.93s	37.95s	147.88s
184	0.8612	0.0000	40296	21142.48s	109.67s	38.10s	147.77s
