epoch	metric	loss	lr	time	iter
2	0.00922	3.76719	0.00000	32.3	438
4	0.15450	2.10436	0.00020	64.7	876
6	0.31802	1.71784	0.00040	97.7	1314
8	0.43512	1.49988	0.00040	129.1	1752
10	0.48140	1.38582	0.00040	161.2	2190
12	0.54325	1.29595	0.00040	192.5	2628
14	0.56552	1.22644	0.00040	223.7	3066
16	0.59485	1.17692	0.00040	254.4	3504
18	0.60161	1.12820	0.00040	284.6	3942
20	0.64448	1.08093	0.00040	315.4	4380
22	0.65837	1.05697	0.00039	354.9	4818
24	0.65354	1.03783	0.00039	403.6	5256
26	0.65931	1.02467	0.00039	466.8	5694
