2023-05-06 11:51:36,028 - DEBUG - [info] number of GPUs: 1
2023-05-06 11:51:36,029 - DEBUG - [info] world_size: 1
2023-05-06 11:51:36,032 - DEBUG - train_files: 219
2023-05-06 11:51:36,033 - DEBUG - val_files: 55
2023-05-06 11:51:38,547 - DEBUG - [info] use pretrained weights
2023-05-06 11:51:38,550 - DEBUG - num_epochs: 200
2023-05-06 11:51:38,551 - DEBUG - num_epochs_per_validation: 2
2023-05-06 11:51:38,551 - DEBUG - [info] training from scratch
2023-05-06 11:51:38,551 - DEBUG - [info] amp enabled
2023-05-06 11:51:38,555 - DEBUG - ----------
2023-05-06 11:51:38,555 - DEBUG - epoch 1/200
2023-05-06 11:51:38,555 - DEBUG - learning rate is set to 0.0
2023-05-06 11:52:50,292 - DEBUG - [2023-05-06 11:52:50] 1/110, train_loss: 3.7922
2023-05-06 11:52:50,864 - DEBUG - [2023-05-06 11:52:50] 1/110, train_loss: 3.7140
2023-05-06 11:52:51,435 - DEBUG - [2023-05-06 11:52:51] 1/110, train_loss: 3.7309
2023-05-06 11:52:52,008 - DEBUG - [2023-05-06 11:52:52] 1/110, train_loss: 3.7062
2023-05-06 11:52:52,639 - DEBUG - [2023-05-06 11:52:52] 2/110, train_loss: 3.8133
2023-05-06 11:52:53,214 - DEBUG - [2023-05-06 11:52:53] 2/110, train_loss: 3.8603
2023-05-06 11:52:53,787 - DEBUG - [2023-05-06 11:52:53] 2/110, train_loss: 3.8146
2023-05-06 11:52:54,360 - DEBUG - [2023-05-06 11:52:54] 2/110, train_loss: 3.7759
2023-05-06 11:52:54,992 - DEBUG - [2023-05-06 11:52:54] 3/110, train_loss: 3.7409
2023-05-06 11:52:55,569 - DEBUG - [2023-05-06 11:52:55] 3/110, train_loss: 3.7707
2023-05-06 11:52:56,147 - DEBUG - [2023-05-06 11:52:56] 3/110, train_loss: 3.7962
2023-05-06 11:52:56,725 - DEBUG - [2023-05-06 11:52:56] 3/110, train_loss: 3.7772
2023-05-06 11:52:57,378 - DEBUG - [2023-05-06 11:52:57] 4/110, train_loss: 3.7300
2023-05-06 11:52:57,952 - DEBUG - [2023-05-06 11:52:57] 4/110, train_loss: 3.8908
2023-05-06 11:52:58,527 - DEBUG - [2023-05-06 11:52:58] 4/110, train_loss: 3.7338
2023-05-06 11:52:59,100 - DEBUG - [2023-05-06 11:52:59] 4/110, train_loss: 3.8701
2023-05-06 11:52:59,747 - DEBUG - [2023-05-06 11:52:59] 5/110, train_loss: 3.7071
2023-05-06 11:53:00,320 - DEBUG - [2023-05-06 11:53:00] 5/110, train_loss: 3.5947
2023-05-06 11:53:00,894 - DEBUG - [2023-05-06 11:53:00] 5/110, train_loss: 3.7432
2023-05-06 11:53:01,469 - DEBUG - [2023-05-06 11:53:01] 5/110, train_loss: 3.7633
2023-05-06 11:53:02,129 - DEBUG - [2023-05-06 11:53:02] 6/110, train_loss: 3.8258
2023-05-06 11:53:02,703 - DEBUG - [2023-05-06 11:53:02] 6/110, train_loss: 3.8164
2023-05-06 11:53:03,276 - DEBUG - [2023-05-06 11:53:03] 6/110, train_loss: 3.8751
2023-05-06 11:53:03,848 - DEBUG - [2023-05-06 11:53:03] 6/110, train_loss: 3.7910
2023-05-06 11:53:04,497 - DEBUG - [2023-05-06 11:53:04] 7/110, train_loss: 3.7596
2023-05-06 11:53:05,070 - DEBUG - [2023-05-06 11:53:05] 7/110, train_loss: 3.6973
2023-05-06 11:53:05,644 - DEBUG - [2023-05-06 11:53:05] 7/110, train_loss: 3.7055
2023-05-06 11:53:06,218 - DEBUG - [2023-05-06 11:53:06] 7/110, train_loss: 3.7957
2023-05-06 11:53:06,878 - DEBUG - [2023-05-06 11:53:06] 8/110, train_loss: 3.7122
2023-05-06 11:53:07,452 - DEBUG - [2023-05-06 11:53:07] 8/110, train_loss: 3.7682
2023-05-06 11:53:08,027 - DEBUG - [2023-05-06 11:53:08] 8/110, train_loss: 3.7525
2023-05-06 11:53:08,609 - DEBUG - [2023-05-06 11:53:08] 8/110, train_loss: 3.6879
2023-05-06 11:53:52,831 - DEBUG - [2023-05-06 11:53:52] 9/110, train_loss: 3.7412
2023-05-06 11:53:53,403 - DEBUG - [2023-05-06 11:53:53] 9/110, train_loss: 3.7408
2023-05-06 11:53:53,976 - DEBUG - [2023-05-06 11:53:53] 9/110, train_loss: 3.7169
2023-05-06 11:53:54,548 - DEBUG - [2023-05-06 11:53:54] 9/110, train_loss: 3.7708
2023-05-06 11:53:55,183 - DEBUG - [2023-05-06 11:53:55] 10/110, train_loss: 3.7404
2023-05-06 11:53:55,755 - DEBUG - [2023-05-06 11:53:55] 10/110, train_loss: 3.8323
2023-05-06 11:53:56,328 - DEBUG - [2023-05-06 11:53:56] 10/110, train_loss: 3.7961
2023-05-06 11:53:56,900 - DEBUG - [2023-05-06 11:53:56] 10/110, train_loss: 3.7252
2023-05-06 11:53:57,547 - DEBUG - [2023-05-06 11:53:57] 11/110, train_loss: 3.7201
2023-05-06 11:53:58,120 - DEBUG - [2023-05-06 11:53:58] 11/110, train_loss: 3.8123
2023-05-06 11:53:58,693 - DEBUG - [2023-05-06 11:53:58] 11/110, train_loss: 3.8167
2023-05-06 11:53:59,267 - DEBUG - [2023-05-06 11:53:59] 11/110, train_loss: 3.8314
2023-05-06 11:53:59,925 - DEBUG - [2023-05-06 11:53:59] 12/110, train_loss: 3.6988
2023-05-06 11:54:00,499 - DEBUG - [2023-05-06 11:54:00] 12/110, train_loss: 3.7994
2023-05-06 11:54:01,072 - DEBUG - [2023-05-06 11:54:01] 12/110, train_loss: 3.7159
2023-05-06 11:54:01,646 - DEBUG - [2023-05-06 11:54:01] 12/110, train_loss: 3.7866
2023-05-06 11:54:02,311 - DEBUG - [2023-05-06 11:54:02] 13/110, train_loss: 3.8295
2023-05-06 11:54:02,885 - DEBUG - [2023-05-06 11:54:02] 13/110, train_loss: 3.8529
2023-05-06 11:54:03,458 - DEBUG - [2023-05-06 11:54:03] 13/110, train_loss: 3.7437
2023-05-06 11:54:04,032 - DEBUG - [2023-05-06 11:54:04] 13/110, train_loss: 3.7640
2023-05-06 11:54:04,702 - DEBUG - [2023-05-06 11:54:04] 14/110, train_loss: 3.7648
2023-05-06 11:54:05,276 - DEBUG - [2023-05-06 11:54:05] 14/110, train_loss: 3.7559
2023-05-06 11:54:05,849 - DEBUG - [2023-05-06 11:54:05] 14/110, train_loss: 3.8194
2023-05-06 11:54:06,425 - DEBUG - [2023-05-06 11:54:06] 14/110, train_loss: 3.7727
2023-05-06 11:54:07,080 - DEBUG - [2023-05-06 11:54:07] 15/110, train_loss: 3.6827
2023-05-06 11:54:07,659 - DEBUG - [2023-05-06 11:54:07] 15/110, train_loss: 3.7364
2023-05-06 11:54:08,234 - DEBUG - [2023-05-06 11:54:08] 15/110, train_loss: 3.7142
2023-05-06 11:54:08,810 - DEBUG - [2023-05-06 11:54:08] 15/110, train_loss: 3.6813
2023-05-06 11:54:09,485 - DEBUG - [2023-05-06 11:54:09] 16/110, train_loss: 3.7018
2023-05-06 11:54:10,059 - DEBUG - [2023-05-06 11:54:10] 16/110, train_loss: 3.6639
2023-05-06 11:54:10,634 - DEBUG - [2023-05-06 11:54:10] 16/110, train_loss: 3.7292
2023-05-06 11:54:11,209 - DEBUG - [2023-05-06 11:54:11] 16/110, train_loss: 3.7174
2023-05-06 11:54:45,879 - DEBUG - [2023-05-06 11:54:45] 17/110, train_loss: 3.6769
2023-05-06 11:54:46,451 - DEBUG - [2023-05-06 11:54:46] 17/110, train_loss: 3.8501
2023-05-06 11:54:47,027 - DEBUG - [2023-05-06 11:54:47] 17/110, train_loss: 3.7108
2023-05-06 11:54:47,608 - DEBUG - [2023-05-06 11:54:47] 17/110, train_loss: 3.7650
2023-05-06 11:54:48,269 - DEBUG - [2023-05-06 11:54:48] 18/110, train_loss: 3.7618
2023-05-06 11:54:48,847 - DEBUG - [2023-05-06 11:54:48] 18/110, train_loss: 3.8123
2023-05-06 11:54:49,423 - DEBUG - [2023-05-06 11:54:49] 18/110, train_loss: 3.8063
2023-05-06 11:54:50,000 - DEBUG - [2023-05-06 11:54:50] 18/110, train_loss: 3.8276
2023-05-06 11:54:50,662 - DEBUG - [2023-05-06 11:54:50] 19/110, train_loss: 3.7130
2023-05-06 11:54:51,238 - DEBUG - [2023-05-06 11:54:51] 19/110, train_loss: 3.7157
2023-05-06 11:54:51,812 - DEBUG - [2023-05-06 11:54:51] 19/110, train_loss: 3.6954
